variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
ig_unk,"1980, 1990,1997, 1998,1999, 2007",Unknown category for state interest groups,Number of state interest groups registered in 'unknown' category,"Gray, Virginia, and David Lowery. 'Interest Group Politics and Economic Growth in the U.S. States.' The American Political Science Review 82.1 (1988): 109–131.
Lowery, David, Virginia Gray, and John Cluverius. 'Temporal Change in the Density of State Interest Communities 1980 to 2007.' State Politics & Policy Quarterly 15.2 (2015): 263–286.",elections,NA,NA,NA,NA,NA,NA
christright_inf,"2000, 2004",Christian Right influence,Index measuring the influence of Christian Right interest groups,"Conger, Kimberly H. 'A Matter of Context: Christian Right Influence in U.S. State Republican Politics.' State Politics & Policy Quarterly 10.3 (2010): 248–269.",elections,NA,NA,NA,NA,NA,NA
union_density,1974-2011,Union density,Proportion of (non-agricultural) workforce represented by a union,"Kelly, Nathan J., and Christopher Witko. 'Government Ideology and Unemployment in the U.S. States.' State Politics & Policy Quarterly 14.4 (2014): 389–413.",elections,NA,NA,NA,NA,NA,NA
avgec_low,2000,Mean economic liberalism—low income respondents,Mean economic liberalism score for low income citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
avgec_mid,2000,Mean economic liberalism—mid income respondents,Mean economic liberalism score for middle income citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
avgec_high,2000,Mean economic liberalism—high income respondents,Mean economic liberalism score for high income citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
avgsoc_low,2000,Mean social liberalism—low income respondents,Mean social liberalism score for low income citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
avgsoc_mid,2000,Mean social liberalism—mid income respondents,Mean social liberalism score for middle income citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgec_low,2000,Mean economic liberalism—low income voters,Mean economic liberalism score for low income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgec_mid,2000,Mean economic liberalism—mid income voters,Mean economic liberalism score for middle income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgec_high,2000,Mean economic liberalism—high income voters,Mean economic liberalism score for high income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgsoc_low,2000,Mean social liberalism—low income voters,Mean social liberalism score for low income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgsoc_mid,2000,Mean social liberalism—mid income voters,Mean social liberalism score for middle income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vavgsoc_high,2000,Mean social liberalism—high income voters,Mean social liberalism score for high income voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
st_ec,2000,Mean economic liberalism—all survey respondents,Mean mass economic liberalism score,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
st_soc,2000,Mean social liberalism—all survey respondents,Mean mass social liberalism score,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vst_ec,2000,Mean economic liberalism—all voters,Mean economic liberalism score for voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
vst_soc,2000,Mean social liberalism—all voters,Mean social liberalism score for voting citizens,"Rigby, Elizabeth, and Gerald C. Wright. 'Political Parties and Representation of the Poor in the American States.' American Journal of Political Science 57.3 (2013): 552–565.",policy-ideology,NA,NA,NA,NA,NA,NA
pollib_lower,1936-2014,State policy liberalism score—lower bounds,"A yearly measure of the policy liberalism of states, based on a dynamic latent-variable model of 148 policies collected over time (lower bounds)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",policy-ideology,NA,NA,NA,NA,NA,NA
pollib_upper,1936-2014,State policy liberalism score—upper bounds,"A yearly measure of the policy liberalism of states, based on a dynamic latent-variable model of 148 policies collected over time (upper bounds)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",policy-ideology,NA,NA,NA,NA,NA,NA
pollib_median,1936-2014,State policy liberalism score—median,"A yearly measure of the policy liberalism of states, based on a dynamic latent-variable model of 148 policies collected over time (median)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",policy-ideology,NA,NA,NA,NA,NA,NA
pollib_sd,1936-2014,State policy liberalism score—standard deviation,"A yearly measure of the policy liberalism of states, based on a dynamic latent-variable model of 148 policies collected over time (standard deviation)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB",policy-ideology,NA,NA,NA,NA,NA,NA
innovatescore_boehmkeskinner,1913-2010,Policy innovativeness score,"Policy Innovativeness Score (i.e., the adoption of new policies sooner than other states) for each state for each year, based on 180 policies passed at the state level from 1913–2010. A higher score indicates a state is more innovative. Coverage for Alaska and Hawaii begin after 1959.","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",policy-ideology,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
policypriorityscore,1982-2005,State policy priority score,"A yearly score for each state which summarizes the degree to which that state’s governmental spending is devoted to policies that provide collective goods (e.g., education and highways) rather than particularized benefits (e.g., health care and welfare)
Notes: Values are set to a mean of zero; units are proportions; the difference between any two values shows the difference in spending allocated to collective goods","Jacoby, William G., and Saundra K. Schneider. 'A New Measure of Policy Spending Priorities in the American States.' Political Analysis 17.1 (2008): 1–24.",policy-ideology,NA,NA,NA,NA,NA,NA
know_gov,2007,Knowledge of governor,Percent of population who can correctly name their governor.,"Jaeger, William P., Jeffrey Lyons, and Jennifer Wolak. 'Political Knowledge and Policy Representation in the States.' American Politics Research 45.6 (2017): 907–938.
Source: Pew Research Center. 2007. 'Public Knowledge of Current Affairs Little Changed by News and Information Revolutions.'",policy-ideology,NA,NA,NA,NA,NA,NA
know_govparty,2006-2007,Knowledge of governor’s party,Percent of population who can correctly name the party of their governor.,"Jaeger, William P., Jeffrey Lyons, and Jennifer Wolak. 'Political Knowledge and Policy Representation in the States.' American Politics Research 45.6 (2017): 907–938.
Source: Cooperative Congressional Election Study.
https://cces.gov.harvard.edu",policy-ideology,NA,NA,NA,NA,NA,NA
partisan_knowledge_scale,2007,Partisan knowledge scale,Number of items correct on the Cooperative Congressional Election Study’s partisan knowledge scale,"Jaeger, William P., Jeffrey Lyons, and Jennifer Wolak. 'Political Knowledge and Policy Representation in the States.' American Politics Research 45.6 (2017): 907–938.
Source: Cooperative Congressional Election Study.
https://cces.gov.harvard.edu",policy-ideology,NA,NA,NA,NA,NA,NA
soc_capital,1986-2009,Social capital,Hawes et al.’s measure of social capital,"Hawes, Daniel P., Rene Rocha, and Kenneth Meier. 'Social Capital in the 50 States: Measuring State-Level Social Capital, 1986–2004.' State Politics & Policy Quarterly 13.1 (2013): 121–138.",policy-ideology,NA,NA,NA,NA,NA,NA
soc_capital_ma,1984-2011,Weighted social capital (moving average),Hawes et al.’s weighted moving average measure of social capital,"Hawes, Daniel P., Rene Rocha, and Kenneth Meier. 'Social Capital in the 50 States: Measuring State-Level Social Capital, 1986–2004.' State Politics & Policy Quarterly 13.1 (2013): 121–138.",policy-ideology,NA,NA,NA,NA,NA,NA
state_culture,1966,State culture type,"Elazar’s state political culture classification
(1 = moralistic; 2 = individualistic; 3 = traditionalistic)","Elazar, Daniel J. 1966. American Federalism: A View from the States. New York: Thomas Y. Crowell Company.",policy-ideology,"Daniel, E., 1966. American Federalism: A View from the States. New York: ThomasY. Crowell Company, pp.130-40.","@article{daniel1966american,
  title={American Federalism: A View from the States},
  author={Daniel, Elazar},
  journal={New York: ThomasY. Crowell Company},
  pages={130--40},
  year={1966}
}",NA,NA,NA,NA
fpvi,2000-2014,Cook Partisan Voter Index,"Cook Partisan Voter Index, state-level measure (+D, used for imputing land- use regulation, linearly interpolated between elections)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",policy-ideology,NA,NA,NA,NA,NA,NA
citi6013,1960-2013,Citizen ideology measure,"Measure of citizen ideology, from liberal to conservative. Higher values indicate more liberal.","Berry, William D., Evan J. Ringquist, Richard C. Fording, and Russell L. Hanson. 'Measuring Citizen and Government Ideology in the American States, 1960-93.' American Journal of Political Science 42.1 (1998): 327–
348.",policy-ideology,NA,NA,NA,NA,NA,NA
pid,1976-2011,State party identification score,Yearly measure giving the proportion of Democratic identifiers minus the proportion of Republican identifiers in each state. A positive score indicates a more Democratic state citizenry,"Erikson, Robert S., Gerald C. Wright, and John P. McIver. 1993. Statehouse Democracy: Public Opinion, and Policy in the American States. New York: Cambridge University Press. Data link: http://php.indiana.edu/~wright1/",policy-ideology,"Erikson, R.S., Wright, G.C., Wright, G.C. and McIver, J.P., 1993. Statehouse democracy: Public opinion and policy in the American states. Cambridge University Press.","@book{erikson1993statehouse,
  title={Statehouse democracy: Public opinion and policy in the American states},
  author={Erikson, Robert S and Wright, Gerald C and Wright, Gerald C and McIver, John P},
  year={1993},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA
wpid,1976-2011,Weighted state party identification score,Weighted yearly measure giving the proportion of Democratic identifiers minus the proportion of Republican identifiers in each state. A positive score indicates a more Democratic state citizenry,"Erikson, Robert S., Gerald C. Wright, and John P. McIver. 1993. Statehouse Democracy: Public Opinion, and Policy in the American States. New York: Cambridge University Press. Data link: http://php.indiana.edu/~wright1/",policy-ideology,"Erikson, R.S., Wright, G.C., Wright, G.C. and McIver, J.P., 1993. Statehouse democracy: Public opinion and policy in the American states. Cambridge University Press.","@book{erikson1993statehouse,
  title={Statehouse democracy: Public opinion and policy in the American states},
  author={Erikson, Robert S and Wright, Gerald C and Wright, Gerald C and McIver, John P},
  year={1993},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA
npid,1976-2011,Number used to construct state party identification score,Number of respondents within a state- year used to create the proportion of partisan identifiers.,"Erikson, Robert S., Gerald C. Wright, and John P. McIver. 1993. Statehouse Democracy: Public Opinion, and Policy in the American States. New York: Cambridge University Press. Data link: http://php.indiana.edu/~wright1/",policy-ideology,"Erikson, R.S., Wright, G.C., Wright, G.C. and McIver, J.P., 1993. Statehouse democracy: Public opinion and policy in the American states. Cambridge University Press.","@book{erikson1993statehouse,
  title={Statehouse democracy: Public opinion and policy in the American states},
  author={Erikson, Robert S and Wright, Gerald C and Wright, Gerald C and McIver, John P},
  year={1993},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA
ideo,1976-2011,State ideology score,Yearly measure giving the proportion of liberal identifiers minus the proportion of conservative identifiers in each state. A positive score indicates a more liberal state citizenry,"Erikson, Robert S., Gerald C. Wright, and John P. McIver. 1993. Statehouse Democracy: Public Opinion, and Policy in the American States. New York: Cambridge University Press. Data link: http://php.indiana.edu/~wright1/",policy-ideology,"Erikson, R.S., Wright, G.C., Wright, G.C. and McIver, J.P., 1993. Statehouse democracy: Public opinion and policy in the American states. Cambridge University Press.","@book{erikson1993statehouse,
  title={Statehouse democracy: Public opinion and policy in the American states},
  author={Erikson, Robert S and Wright, Gerald C and Wright, Gerald C and McIver, John P},
  year={1993},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA
wideo,1976-2011,Weighted state ideology score,Weighted yearly measure giving the proportion of liberal identifiers minus the proportion of conservative identifiers in each state. A positive score indicates a more liberal state citizenry,"Erikson, Robert S., Gerald C. Wright, and John P. McIver. 1993. Statehouse Democracy: Public Opinion, and Policy in the American States. New York: Cambridge University Press. Data link: http://php.indiana.edu/~wright1/",policy-ideology,"Erikson, R.S., Wright, G.C., Wright, G.C. and McIver, J.P., 1993. Statehouse democracy: Public opinion and policy in the American states. Cambridge University Press.","@book{erikson1993statehouse,
  title={Statehouse democracy: Public opinion and policy in the American states},
  author={Erikson, Robert S and Wright, Gerald C and Wright, Gerald C and McIver, John P},
  year={1993},
  publisher={Cambridge University Press}
}",NA,NA,NA,NA
mood,1956-2010,Stimson’s policy mood measure,"An over-time, state-level measure of Stimson’s (1999) policy mood","Enns, Peter K., and Julianna Koch. 'Public Opinion in the U.S. States: 1956 to 2010.' State Politics & Policy Quarterly 13.3 (2013): 349–372.",policy-ideology,NA,NA,NA,NA,NA,NA
democrat,1956-2010,Democratic identifiers,An over-time measure of the percent of Democratic identifiers in each state,"Enns, Peter K., and Julianna Koch. 'Public Opinion in the U.S. States: 1956 to 2010.' State Politics & Policy Quarterly 13.3 (2013): 349–372.",policy-ideology,NA,NA,NA,NA,NA,NA
republican,1956-2010,Republican identifiers,An over-time measure of the percent of Republican identifiers in each state,"Enns, Peter K., and Julianna Koch. 'Public Opinion in the U.S. States: 1956 to 2010.' State Politics & Policy Quarterly 13.3 (2013): 349–372.",policy-ideology,NA,NA,NA,NA,NA,NA
liberal,1976-2010,Liberal identifiers,An over-time measure of the percent who identify as political liberals in each state,"Enns, Peter K., and Julianna Koch. 'Public Opinion in the U.S. States: 1956 to 2010.' State Politics & Policy Quarterly 13.3 (2013): 349–372.",policy-ideology,NA,NA,NA,NA,NA,NA
conservative,1976-2010,Conservative identifiers,An over-time measure of the percent who identify as political conservatives in each state,"Enns, Peter K., and Julianna Koch. 'Public Opinion in the U.S. States: 1956 to 2010.' State Politics & Policy Quarterly 13.3 (2013): 349–372.",policy-ideology,NA,NA,NA,NA,NA,NA
extraversion,2008,State extraversion,Mean score of state personality trait: extraversion (1-5 scale),"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
agreeableness,2008,State agreeableness,Mean score of state personality trait: agreeableness (1-5 scale),"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
conscientiousness,2008,State conscientiousnes s,Mean score of state personality trait: conscientiousness (1-5 scale),"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
neuroticism,2008,State neuroticism,Mean score of state personality trait: neuroticism (1-5 scale),"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
openness,2008,State openness,Mean score of state personality trait: openness (1-5 scale),"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
extraversion_sd,2008,Standard deviation of state extraversion,Standard deviation of scores of state extraversion,"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
agreeableness_sd,2008,Standard deviation of state agreeableness,Standard deviation of scores of state agreeableness,"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
conscientiousness_sd,2008,Standard deviation of state conscientiousnes s,Standard deviation of scores of state conscientiousness,"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
neuroticism_sd,2008,Standard deviation of state neuroticism,Standard deviation of scores of state neuroticism,"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
openness_sd,2008,Standard deviation of state openness,Standard deviation of scores of state openness,"Rentfrow, P.J., S.D. Gosling, and J. Potter. 'A Theory of the Emergence, Persistence, and Expression of Geographic Variation in Psychological Characteristics.' Perspectives on Psychological Science 3.5 (2008): 339–369.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_environment,1973-2012,Pro-environment opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on the environment
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_environment,1973-2012,Anti- environment opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on the environment
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_environment,1973-2012,Neutral environment opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on the environment
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_aid,1973-2012,Pro-foreign aid opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on foreign aid
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_aid,1973-2012,Anti-foreign aid opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on foreign aid
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_aid,1973-2012,Neutral foreign aid opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on foreign aid
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_defense,1973-2012,Pro-defense opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on defense
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_defense,1973-2012,Anti-defense opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on defense
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_defense,1973-2012,Neutral defense opinion,Estimated proportion of citizenry who believe we are spending 'about the right amount' on defense (note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification),"Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_education,1973-2012,Pro-education opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on education
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_education,1973-2012,Anti-education opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on education
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_education,1973-2012,Neutral education opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on education
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_welfare,1973-2012,Pro-welfare opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on welfare for the poor
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_welfare,1973-2012,Anti-welfare opinion,Estimated proportion of citizenry who believe we are spending 'too much' on welfare for the poor (note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification),"Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_welfare,1973-2012,Neutral welfare opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on welfare for the poor
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_health,1973-2012,Pro-health opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on health
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_health,1973-2012,Anti-health opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on health
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_health,1973-2012,Neutral health opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on health
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
pro_race,1973-2012,Pro-race opinion,"Estimated proportion of citizenry who believe we are spending 'too little' on assistance to blacks
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
anti_race,1973-2012,Anti-race opinion,"Estimated proportion of citizenry who believe we are spending 'too much' on assistance to blacks
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
neutral_race,1973-2012,Neutral race opinion,"Estimated proportion of citizenry who believe we are spending 'about the right amount' on assistance to blacks
(note: proportion for state-year is estimated by national sample from the General Social Survey and multilevel regression and post-stratification)","Kim, Sung Eun, and Johannes Urpelainen. 'Environmental Public Opinion in
U.S. States, 1973–2012.' Environmental Politics 27.1 (2017): 89–114.",policy-ideology,NA,NA,NA,NA,NA,NA
